CampsiteCode,month,capacity_month_mean,avgtemp_month_mean
Zeraora,10,201.0,10.200000000000323
Zeraora,11,201.0,5.100000000000161
Zeraora,12,201.66666666666666,1.5
Noibat,1,168.0,2.0
Noibat,2,168.0,2.5
Noibat,3,168.0,4.5
Noibat,4,168.0,7.0
Noibat,5,168.0,11.0
Noibat,6,168.0,14.0
Noibat,7,168.0,16.0
Noibat,8,168.0,15.5
Noibat,9,168.0,12.5
Noibat,10,168.0,9.0
Noibat,11,168.0,5.0
Noibat,12,168.0,3.0
Gogoat,1,205.88888888888889,6.5
Gogoat,2,206.5,8.0
Gogoat,3,207.11111111111111,11.0
Gogoat,4,205.88888888888889,13.5
Gogoat,5,206.5,17.5
Gogoat,6,207.11111111111111,23.0
Gogoat,7,205.88888888888889,27.0
Gogoat,8,206.5,26.5
Gogoat,9,206.5,22.0
Gogoat,10,206.5,15.5
Gogoat,11,206.5,10.0
Gogoat,12,207.11111111111111,7.0
Aron,1,107.44444444444444,6.0
Aron,2,107.5,6.200000000000061
Aron,3,107.55555555555556,8.5
Aron,4,107.44444444444444,10.799999999999613
Aron,5,107.5,13.799999999999573
Aron,6,107.55555555555556,16.5
Aron,7,107.44444444444444,18.20000000000032
